"","Strain","isolate","plate","well","label_exp","model","param_1","param_2","param_3","param_4","th_gr","em_gr","loss","tot_plate.x","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","tot_plate.y","Strain_nice","ID"
"7532","448","8","2","G8","Richards_isolate_8_plate_17","NL_Richards","0.23075860131843778","4.562943728857832","0.7682880199512743","33.12428677029095","0.1683755192863667","0.3070430150225326","0.03631492583277717","2G8",1,1,0,0,1,1,0,0,4,"2G8","C. gallinarum","2G8C. gallinarum"
"7534","448","8","5","E8","Richards_isolate_8_plate_15","NL_Richards","0.21122961171326288","0.37199291653756245","0.22298641784222226","29.75796572334256","0.4560518298689983","0.42128907581551617","0.0032696677898783094","5E8",0,0,0,0,0,0,0,0,0,"5E8","C. gallinarum","5E8C. gallinarum"
"7535","448","8","3","C5","Richards_isolate_8_plate_3","NL_Richards","0.18376274209169632","0.4454701959954439","0.2244794614913889","30.379297758432227","0.42643899568884275","0.4058245236932721","0.0034388951549146098","3C5",0,1,0,1,1,0,0,1,4,"3C5","C. gallinarum","3C5C. gallinarum"
"7537","448","8","5","B9","Richards_isolate_8_plate_10","NL_Richards","0.21788784196988314","1.8955860283531354","0.43665580244209096","31.839183822227415","0.23035209146249833","0.3856934464334134","0.022299850686384057","5B9",0,0,0,0,0,0,0,0,0,"5B9","C. gallinarum","5B9C. gallinarum"
"7539","448","8","5","C6","Richards_isolate_8_plate_15","NL_Richards","0.18774785982373607","3.083973457779707","0.4487613917666642","34.54853574904922","0.1455139594351447","0.30581997397854455","0.04479666537575701","5C6",0,0,0,0,0,0,0,0,0,"5C6","C. gallinarum","5C6C. gallinarum"
"7540","448","8","5","E8","Richards_isolate_8_plate_10","NL_Richards","0.18943971269176768","1.0403375100216317","0.38077660507839595","29.33088176344599","0.3648080462594474","0.5086334609387237","0.012723519244687816","5E8",0,0,0,0,0,0,0,0,0,"5E8","C. gallinarum","5E8C. gallinarum"
"7541","448","8","5","C6","Richards_isolate_8_plate_10","NL_Richards","0.18298685147283186","3.1264023215669963","0.48972655391771913","33.16290319375195","0.15664213807190902","0.30734483746601593","0.0408722192559548","5C6",0,0,0,0,0,0,0,0,0,"5C6","C. gallinarum","5C6C. gallinarum"
"7543","448","8","3","D10","Richards_isolate_8_plate_13","NL_Richards","0.23338524185531012","3.795077213741318","0.8380533894024111","32.160163182266594","0.2208264394794394","0.3387669872116968","0.031162034990896415","3D10",1,1,1,0,0,1,0,1,5,"3D10","C. gallinarum","3D10C. gallinarum"
"7545","448","8","4","B3","Richards_isolate_8_plate_19","NL_Richards","0.18633672337766827","1.8367603204152063","0.4773285499319527","35.74170005143738","0.2598741111835573","0.6414351523135491","0.04407261821383771","4B3",1,0,1,1,0,1,0,1,5,"4B3","C. gallinarum","4B3C. gallinarum"
"7547","448","8","4","B3","Richards_isolate_8_plate_9","NL_Richards","0.1652659343617084","1.790379998773734","0.4570431128154717","34.4758479595163","0.25521588095746645","0.2970954066201337","0.004686184393154724","4B3",1,0,1,1,0,1,0,1,5,"4B3","C. gallinarum","4B3C. gallinarum"
