Complexity,Loss,Equation
1,0.026605670032314822,"0.5377483550365604"
5,0.02660567003231472,"(x1 - (x1 + -0.5377483540927513))"
7,0.0007612705222623213,"((x1 / (x1 + 1.1924446796622115)) * 0.6814328841435243)"
9,0.0007606360160058508,"(((x1 - 0.005628805036999372) / (x1 + 1.1924446796622115)) * 0.6814328841435243)"
11,0.0007606078963106076,"(((x1 - (0.005628805036999372 / 1.4039772386231946)) / (x1 + 1.1924446796622115)) * 0.6814328841435243)"
13,0.0007069892466208004,"(x1 / (((x1 / 0.6804579024664549) + 1.5218329325466573) + (0.6804579024664549 / (x1 + 0.7551572239578026))))"
15,0.0006994161204226451,"(x1 / (((x1 / 0.6804579024664549) + (0.4958856554261714 + 0.9799235456305375)) + (0.8986790023839991 / (x1 + 1.0506417456092634))))"
17,0.00041714981332925406,"((x1 / ((x1 + -0.9038383324439225) + (1.939683661425394 - (-0.1607476304197546 / (1.939683661425394 - (x1 + -0.9038383324439225)))))) * 0.6814328841435243)"
19,0.00039176544588608795,"((x1 / ((x1 + -0.9038383324439225) + (1.9038403067796863 - (-0.2427977080496526 / (1.9038403067796863 - ((x1 - 1.939683661425394) + 0.869689400241138)))))) * 0.6814328841435243)"
