Complexity,Loss,Equation
1,0.10982203652955426,"0.2957124508960382"
3,0.0005116272900860045,"(x1 * 0.013003758458445725)"
5,0.00017350828450897295,"((x1 - -1.8942128387609256) * 0.012561090929057897)"
7,0.00017350828450892343,"(((x1 - -0.023498216498315207) * 1.0125610909285414) - x1)"
9,0.0001735082845088818,"((((x1 + 0.9123227904844189) - 0.936418842349629) * -0.9874389090370633) + x1)"
11,9.813827212369181e-5,"(((x1 - ((x1 - -0.7090065119443857) * 1.000029167771783)) - -0.7240311474509957) * x1)"
15,7.630649742675282e-5,"((((x1 - -0.48532340960328363) * 0.010791646039822415) - (((x1 - -0.48532340960328363) * x1) * 2.0979019275937122e-5)) / 0.7192534086010438)"
19,5.333116153285868e-5,"((((x1 + 0.3920595768468946) / (7.849118625919024 + (((x1 / (7.849118625919024 + -1.911839944872586)) + 0.3920595768468946) * 0.10206804272541802))) / 0.874162685567862) * 0.10206804272541802)"
