Complexity,Loss,Equation
1,0.040882343890896886,"0.5005672086614956"
5,0.024203698186809095,"(x1 / (x1 - -6.91977182885265))"
7,0.004324022561771021,"((x1 / 1.4059414597259896) / (x1 + 2.238779162376331))"
9,0.004150960686179113,"(((x1 / 1.306751492917075) / (x1 - -1.9698144623522018)) - 0.052494063327744485)"
11,0.004128728439521861,"(((x1 / 1.306751492917075) / ((x1 - -2.320363459590709) - 0.4808250611483843)) - 0.06827923996039094)"
13,0.0032291210287162557,"((x1 / 1.4059414597259896) / ((x1 + (2.238779162376331 / (x1 + 0.03746848322165331))) - -1.3425332074836216))"
15,0.0032237235166173188,"((x1 / 1.4059414597259896) / ((x1 + (2.238779162376331 / ((x1 + 0.03746848322165331) / 1.0472716445794081))) - -1.3425332074836216))"
17,0.002619631302850856,"((x1 / 1.4059414597259896) / (((x1 * 1.0996878200632731) + 1.6748168205073977) - (0.7466396713161738 + (-0.9192529370447036 / (-0.9192529370447036 + x1)))))"
19,0.0025060542898646394,"((x1 / 1.3499596487073777) / (((x1 * 1.0996878200632731) + 1.6748168205073977) - ((0.7466396713161738 + (-0.9192529370447036 / (-0.9192529370447036 + x1))) - 0.3987213243620772)))"
