Complexity,Loss,Equation
1,0.12499033409171681,"0.3108137223758582"
3,0.00039451248042324976,"(x1 * 0.013787900675084536)"
5,0.0001396755279669818,"((-1.5411012433787956 - x1) * -0.013403597407784022)"
7,0.0001396755279669528,"((0.02065630062755375 - (x1 * 0.9865964026037426)) + x1)"
11,0.0001245983800371096,"(((x1 + 0.754368731987086) + (x1 / (x1 + 1.410783912078984))) * 0.013403597407538997)"
13,9.566732255501601e-5,"(((-0.1083452365265009 - x1) * (((0.0010313376748693518 - x1) * -1.184689601924863e-5) + -0.014335715009875653)) - -0.012737024385902199)"
