A1,4,1
A2,3.6667,1
A3,3.3333,1
A4,3,1
A5,2.6667,1
A6,2.3333,1
A7,2,1
A8,1.6667,1
A9,1.3333,2
A10,1,2
A11,0.6667,2
A12,0.3333,2
B1,0,2
B2,-0.3333,2
B3,-0.6667,2
B4,-1,2
B5,-1.3333,2
B6,-1.6667,2
B7,-2,2
B8,-2.3333,2
B9,-2.6667,2
B10,-3,2
B11,-3.3333,2
B12,-3.6667,2
C1,-4,2
C2,3.6667,1
C3,3.3333,1
C4,3,1
C5,2.6667,1
C6,2.3333,1
C7,2,1
C8,1.6667,1
C9,1.3333,2
C10,1,2
C11,0.6667,2
C12,0.3333,2
D1,0,2
D2,-0.3333,2
D3,-0.6667,2
D4,-1,2
D5,-1.3333,2
D6,-1.6667,2
D7,-2,2
D8,-2.3333,2
D9,-2.6667,2
D10,-3,2
D11,-3.3333,2
D12,-3.6667,2
E1,4,1
E2,3.6667,1
E3,3.3333,1
E4,3,1
E5,2.6667,1
E6,2.3333,1
E7,2,1
E8,1.6667,1
E9,1.3333,2
E10,1,2
E11,0.6667,2
E12,0.3333,2
F1,0,2
F2,-0.3333,2
F3,-0.6667,2
F4,-1,2
F5,-1.3333,2
F6,-1.6667,2
F7,-2,2
F8,-2.3333,2
F9,-2.6667,2
F10,-3,2
F11,-3.3333,2
F12,-3.6667,2
G1,-4,2
G2,3.6667,1
G3,3.3333,1
G4,3,1
G5,2.6667,1
G6,2.3333,1
G7,2,1
G8,1.6667,1
G9,1.3333,2
G10,1,2
G11,0.6667,2
G12,0.3333,2
H1,0,2
H2,-0.3333,2
H3,-0.6667,2
H4,-1,2
H5,-1.3333,2
H6,-1.6667,2
H7,-2,2
H8,-2.3333,2
H9,-2.6667,2
H10,-3,2
H11,-3.3333,2
H12,-3.6667,2
