Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45
label_exp,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response,fit_antibio_response
well,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
model,HPM_exp,HPM_exp,HPM_exp,HPM_exp,HPM_exp,logistic,HPM_exp,logistic,HPM_exp,HPM_exp,HPM_exp,HPM_exp,HPM_exp,HPM_exp,logistic,logistic,HPM_exp,HPM_exp,HPM_exp,HPM_exp,logistic,logistic,logistic,logistic,HPM_exp,HPM_exp,HPM_exp,HPM_exp,logistic,logistic,logistic,logistic,HPM_exp,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic
param_1,0.5996535773146053,0.5906256619113789,0.5771800469097472,0.5604181925748378,0.55452579973834,0.4082950556217195,0.40994248576319126,0.42364467631370356,0.5162811178436715,0.4981457875273863,0.4976803180725834,0.5037869636655057,0.39743515614770525,0.40503609684955605,0.3535903701971941,0.38249590093086855,0.4144859603163251,0.4138574192145009,0.4077146383482849,0.39676822198899875,0.26794898460534694,0.26852024312252387,0.27814742679048615,0.3012596820160196,0.346133236029278,0.33815045697896123,0.3463964111717204,0.34333876379312345,0.20579802452037912,0.23161475211344068,0.23867061709174403,0.23544735487855242,0.23788078715046349,0.2503345288711319,0.26699919132849265,0.23926296011944925,0.17837283742844015,0.1778610839093976,0.20102392969330501,0.20882134909575514,0.19756363915065964,0.2058522830611412,0.22794595307495893,0.22852150542902677
param_2,0.21803469857688382,0.30481694013207183,0.40985475367810265,0.5373146600715364,0.16827199541986018,2.4999999999999876,2.5771746976513246,2.4999999999999942,0.274711054712506,0.3769573426299385,0.2648473039376558,0.3263162590107588,0.33073936035882123,0.3676269502096047,2.372186939965306,1.5717407199693827,0.43712906747618363,0.3883569907389452,1.0811605484226097,0.2763698309146176,1.796050733215599,1.694982228657742,1.5653540617210138,1.3621757086641757,0.4648391761753728,0.4634059835285996,0.7193891184186619,0.47256724041775616,1.0420067950855987,0.8159987510421254,0.8626059440519287,1.0661655445594092,1.725065014520516,2.0743288762052057,1.500921444373812,2.4999999999999796,0.48956061872351486,0.5107103064316478,0.503005491814958,0.5881678232400336,1.6268280343951627,1.1743418957344747,0.820761708876018,0.7788834731728832
th_gr,0.5983798196925096,0.5901309491038556,0.5768806679552052,0.5603934410433838,0.5499393076768159,0.4065489269038674,0.4099624245526512,0.4216026338519491,0.5154127007031917,0.49787460948662504,0.4963549063987255,0.5031503969740634,0.39702300926258904,0.40479147665618814,0.3518652369040397,0.38000040478854497,0.41444377801115684,0.41371467078057667,0.4077280971232648,0.3960546946113188,0.2664773037431063,0.2669570470473137,0.2761321917596959,0.29903704342916726,0.3461082503190319,0.3381364835420831,0.3464060417710314,0.34329239090206437,0.20347683779515963,0.2292303458136115,0.23598787379929004,0.23280850472126002,0.23789180425191989,0.2491403667130983,0.26504010797114463,0.2378855797989386,0.17495968265308154,0.1745993336651734,0.19757793851593894,0.20543782304513422,0.195962089795101,0.20398742317379254,0.22492119374663858,0.2252517085898854
em_gr,0.8096113703410622,0.7465321220771924,0.7392724774031867,0.7345073994722291,0.6241576333348602,0.603753930754171,0.6109260196059679,0.5918326071754338,0.6620232874434627,0.6482916485308204,0.6441125415536716,0.6533624195073603,0.48180876948616974,0.5026468172329402,0.4904897609535928,0.5296838348811294,0.5079260205807238,0.500940813191269,0.49810360518353564,0.4845786527278687,0.40401004683937813,0.40552067819858656,0.41796232562127816,0.4380286890968669,0.4366964255986102,0.48167636431341904,0.44519412816513954,0.3809738583693283,0.33077166607350056,0.39210054513217724,0.3757056170991889,0.37570561709919,0.31480858622928576,0.33008745205764456,0.35738760764040667,0.31727634126976617,0.297595659857056,0.30415582779839717,0.335072900249656,0.33430923075113933,0.2525892888949411,0.24770307380793644,0.2751900850476881,0.2689167498893205
loss,0.00027651130928430586,0.0002434997168921914,0.00033963019622236285,0.00044319780421150505,2.2981598614914386e-6,0.0006936019180887882,0.0005554555936302305,0.0006040309827938041,0.00029693445957808094,0.00039063876417164096,0.0003475748344628838,0.00030735026280358495,2.8184804795206616e-6,3.387985561414838e-6,0.0002705189593823381,0.0002449754887440316,0.00020327877797432612,0.00015842488055763717,0.00023277896033793255,0.00017548339953516712,2.2549416688125062e-5,2.4301904444020695e-5,3.20673937650214e-5,4.085718219340571e-5,5.331961610568051e-5,4.3543836454605944e-5,6.51398986437971e-5,5.0356698639718706e-5,1.9322421136356466e-5,4.325670743803118e-5,2.5842047365684184e-5,1.2405000335757322e-5,2.385780443731679e-5,1.2493427340198954e-5,1.601272096945273e-5,3.30143475203876e-5,0.00019409291090902002,0.00017810165936619,0.00018030314681785368,9.973215339749773e-5,9.895211580016671e-6,4.267045299329479e-6,7.182075879986721e-6,7.349565950973612e-6
segment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
