Complexity,Loss,Equation
1,0.019306335044929446,"0.35042500936581045"
5,0.002645573741353002,"((x1 * -0.022937508670877425) - -0.5109875699747546)"
7,0.0008123764792788052,"(-0.7109111284465262 / ((x1 * -0.1629194835709386) + -1.2306814357061715))"
11,0.0008123764792788051,"(-0.5984902377586865 / ((((x1 - -0.3773226382472327) * -0.08990200954258436) / 0.65547271088366) + -0.9843139048280384))"
13,0.000812376479278805,"(-0.6488439522861517 / (((((x1 - 0.24312911350166955) * -0.097541005358586) + 0.007934765732518946) / 0.6559779692013239) + -1.1714832258691095))"
15,0.0008123764792788048,"(-0.6326064453129964 / ((((((x1 + -0.6700600572303468) * 0.331755694711138) - -0.029266524462438003) + x1) * -0.10885960696311074) + -1.1161387847009405))"
19,0.0008049965568519922,"(-0.637762013431852 / ((((x1 / 0.7570402900628682) * -0.10657246640473311) + (((x1 + 0.6335563725901291) / (-0.10657246640473311 - x1)) * -0.010618816706953338)) + -1.1591041885715057))"
