Complexity,Loss,Equation
1,0.017342311159205245,"0.3826892574872129"
5,0.0002897729582229912,"((x1 * -0.02548765392293788) + 0.5738466617017386)"
7,0.0002897729582229782,"((x1 * 0.9745123459494252) + (0.573846661661435 - x1))"
11,0.00028562357296366153,"(((x1 + (0.05599063527745316 / (x1 + -0.37183275425483703))) * -0.02548765398465096) + 0.5752737321850626)"
13,0.0002804899910226787,"(((x1 + (-4.804818915014156 - (-0.04867212522428162 / (-0.21359227535405986 + x1)))) * -0.02548765395098371) + 0.45138310054968445)"
15,0.00027992006895543464,"(((x1 + (-4.804818915014156 - ((-0.04867212522428162 + 0.11660697141199618) / (0.21951474146929548 - x1)))) * -0.02548765395098371) + 0.45138310054968445)"
17,0.00019861611286274162,"(((x1 + (0.05599063527745316 / ((0.5959317893234269 - (1.174786144149793 * x1)) + (1.6049693504634162 + x1)))) * -0.02548765398465096) + 0.5752737321850626)"
