Complexity,Loss,Equation
1,0.013509835587985911,"0.5811546306757841"
5,0.001399811875581999,"((x1 * -0.019453489173434778) - -0.6978755658530442)"
7,0.0006039117301880669,"(1.5087597068483554 / (2.0701123494344618 - (x1 * -0.10785815375865307)))"
9,0.0004946041857391093,"((x1 * ((x1 * 0.0011848451713137246) - 0.03900343450020027)) - -0.734605766164999)"
13,0.0004946041857391074,"(((-0.3969899939469317 - (x1 * -0.001184845171433595)) * x1) + ((x1 * 0.35798655944820806) + 0.7346057661582637))"
15,0.000494604185739097,"((((x1 + -0.181441268787004) - (x1 * 0.9988151548346295)) * x1) + ((x1 * 0.1424378344145095) + 0.7346057657106594))"
17,0.0004680419814686417,"((((1.423375403100202 / (1.8414512549801927 - x1)) - (x1 * x1)) * -0.0011848451635330104) + ((x1 * -0.039003434356723876) + 0.7348961421165521))"
19,0.00046099553006457693,"((((1.616536722245342 / (1.8414512549801927 - x1)) - ((x1 * x1) + -1.6374246330184898)) * -0.0011848451635330104) + ((x1 * -0.039003434356723876) + 0.7348961421165521))"
