Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
label_exp,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response,fit_chl_response
well,A3,A4,A5,A6,B5,B6,B7,B8,C5,C6,C7,C8,D5,D6,D7,D8,E5,E6,E7,E8
model,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic
param_1,0.713234368317023,0.7175613690320997,0.7395839993146072,0.7750030341353336,0.6567004658584514,0.6566260866837194,0.7051824709211167,0.6982879565400892,0.5881917724986624,0.5871247213467798,0.610973515466801,0.5606305220986106,0.5253493259226744,0.5102589430599291,0.5054617287394368,0.5029527517666692,0.4250607106899472,0.4325985776301967,0.44370255937796954,0.3843326971862855
param_2,1.5900187886715835,1.6598134453378433,1.5653606199732821,1.3763784623183797,1.3809676939093456,1.3232926711778736,1.1557972893964352,1.2004026672671508,0.9598303577031347,0.9817025959812753,0.9337797901564369,1.5241331108779368,0.7845092249282473,0.7559876721245362,0.7499135353442107,0.7774401619642668,0.5135602745103724,0.4682930164684244,0.46290306520712654,0.5385796247942992
th_gr,0.7087639878688022,0.7134576123727505,0.7355190337845895,0.7708337339437421,0.6515848796662397,0.6512889994077063,0.7000435078323675,0.693407887868421,0.5824323231746197,0.5817831926150775,0.6057637771167974,0.5572808158887952,0.5192854566634277,0.504002467801298,0.498836220272405,0.4964126294153813,0.41707117388501563,0.42468256722856956,0.4355724066023406,0.3750699428183174
em_gr,1.2415881406942346,0.9426428713379563,0.8791609750492541,0.8528388278597809,0.8444002376721864,0.7620188101168729,0.8281665300849423,0.7979153643856397,0.6974197706521675,0.6898756096204526,0.6972626276588973,0.7619441831121108,0.5871167980009261,0.5893749993414357,0.5781411800525602,0.5914248463681793,0.4850561049396466,0.5107092028731776,0.5630481053097005,0.41225737530342516
loss,4.254697388418646e-5,3.425710409958433e-5,2.5483901246281797e-5,1.1779913959824997e-5,9.692856864342479e-5,0.0001087336315034732,9.043875963049604e-5,8.209004406797818e-5,7.875700188885239e-5,6.339069905825009e-5,5.9989371612318125e-5,7.227629491713518e-6,1.3633587809750266e-5,1.0459853568477055e-5,9.36373191515318e-6,1.3976971420465689e-5,4.760285180690487e-6,1.745957118210416e-5,1.9148177131910173e-5,2.2853989188513328e-6
segment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
