Complexity,Loss,Equation
1,0.024065460637726473,"0.6748532367570143"
5,0.00471337458572083,"((x1 * -0.02459171993548106) + 0.8224035563039751)"
7,0.002864929525130057,"((2.1712971708696727 / (x1 + 4.375057361081073)) - -0.4037112884892261)"
9,0.002848013461692097,"((2.1712971708696727 / ((x1 + 4.1232360489921485) + 0.1457140446888323)) - -0.40084858983398225)"
13,0.002632308526170411,"((((2.1712971708696727 / ((x1 - -0.21938300947213688) + 4.558531978116735)) / 0.8340669564676528) - -0.4037112884892261) - 0.03655265318425259)"
15,0.002616316549574545,"((((2.1712971708696727 / (x1 + ((4.558531978116735 - -0.5608173532121062) - 0.26775016987449884))) / 0.8340669564676528) - -0.4037112884892261) - 0.03655265318425259)"
