Complexity,Loss,Equation
1,6.684850177146308e-6,"0.01124755394444872"
5,9.398929088342343e-7,"(0.2870240521238034 / (20.780670377681922 + x1))"
7,7.721329767215738e-7,"(0.48768551204969846 / (x1 + (33.743782403676 + x1)))"
9,6.598819497316828e-7,"((0.10004071973749908 / ((x1 - -1.1032178644336996) + 7.936164024281661)) + 0.0037139432602575078)"
13,6.549203250967838e-7,"((0.1757334988239655 / ((x1 + 16.92404054029866) - ((-0.24852228631579387 - x1) + 0.7586644914033783))) + 0.004134681682930968)"
15,6.549158652008131e-7,"((0.1757334988239655 / ((16.92404054029866 + x1) - (((-0.24852228631579387 + 0.004134681682930968) - x1) + 0.7586644914033783))) + 0.004134681682930968)"
