Complexity,Loss,Equation
1,6.684850177146309e-6,"0.011247553944397208"
5,7.683874444187125e-7,"(0.23563610255694245 / (x1 + 16.221871751156097))"
7,7.683869407786719e-7,"(0.23564208140114823 / ((x1 - 0.4269438227104593) + 16.649342709738985))"
9,7.683656145106915e-7,"(-0.05617722152012347 / (((x1 * -0.23784288097711503) + -2.379153295572519) - 1.489944620851923))"
11,7.470351098484146e-7,"(0.23759497919556885 / (x1 + (16.381554162002157 + (0.004882320517485583 / (-0.019160418306182928 - x1)))))"
13,7.448345930588461e-7,"(0.23759497919556885 / (x1 + (16.381554162002157 + (0.004882320517485583 / ((-0.019160418306182928 - x1) * 0.5707767193133035)))))"
17,7.169663021195425e-7,"(0.25103519035152305 / ((15.514287546598094 - ((((0.5481449394981 / (0.6187643553618276 - x1)) * x1) + -0.8327741749827912) - x1)) + 0.7014397474130816))"
19,7.079011272151661e-7,"(0.25103519035152305 / ((15.514287546598094 - ((((0.8445340269986313 / ((0.8445340269986313 - x1) + -0.8327741749827912)) * x1) + -0.8327741749827912) - x1)) + 0.6357557725655191))"
