Plate Size * :;C_48;;Plate Layout;;;;;;;;;;
;;;Row *;Column *;Control;Inventory Collection *;Inventory Item SysId;Inventory Item Name;Stock ID;Stock Name;Concentration;Well Annotation;Sample Color
;;;E;3;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;E;3;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;E;4;no;Antibiotics;AN-24.0001;Rifampicin;;;12;12&B2;
;;;E;4;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;E;4;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;E;4;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;E;5;no;Antibiotics;AN-23.0002;Chloramphenicol;;;16;12&B1;
;;;E;5;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;E;5;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;E;5;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;E;6;no;Antibiotics;AN-23.0002;Chloramphenicol;;;16;12&B1;
;;;E;6;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;E;6;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;E;6;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;E;7;no;Antibiotics;AN-23.0002;Chloramphenicol;;;16;12&B2;
;;;E;7;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;E;7;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;E;7;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;E;8;no;Antibiotics;AN-23.0002;Chloramphenicol;;;16;12&B2;
;;;E;8;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;E;8;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;E;8;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;F;1;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;2;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;3;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;4;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;5;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;6;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;7;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;F;8;no;Media;ME-23.0001;M9+glucose;;;;X;
