Complexity,Loss,Equation
1,0.040962097393115134,"0.5008732019472176"
5,0.02406809064286163,"(x1 / (x1 + 6.90812075935242))"
7,0.004280013693762317,"((x1 * 0.7039893215745989) / (x1 - -2.149888392272151))"
9,0.004221959128321259,"(((x1 * 0.7039893215745989) + -0.07689898971495372) / (x1 - -2.149888392272151))"
11,0.0041072949036076315,"(((x1 * 0.7039893215745989) + -0.07689898971495372) / (x1 - (-2.149888392272151 + 0.1618586194801405)))"
13,0.0023214988970218066,"((x1 / ((5.233368892830963 / (x1 + -0.008022055235529287)) - (x1 * -1.295182618587862))) / 1.2114440697263924)"
17,0.0023164256489947143,"((x1 / (((3.0392940820816747 - -1.8768693799576255) / ((x1 - 0.17520113175076168) + -0.008022055235529287)) - (x1 * -1.295182618587862))) / 1.2114440697263924)"
19,0.0023008294097435983,"((x1 / (((1.2114440697263924 / (0.6953586118978266 + 1.2445673741556753)) - (x1 * -1.2556743168284428)) + (3.0392940820816747 / (x1 + -0.36120242643479394)))) / 1.2114440697263924)"
