Complexity,Loss,Equation
1,0.0267775838104696,"0.5372285491101385"
5,0.019461167461498622,"((x1 * 0.00324470458014243) + 0.46698806927807834)"
7,0.000736001323680052,"((-0.6820518141875594 / (-1.2077037529259615 - x1)) * x1)"
9,0.0007360013236800508,"((-0.6820518141661969 / ((-1.1736208646478639 - x1) + -0.034082889473017755)) * x1)"
11,0.0007359496488430705,"((-0.6820518141875594 / (-1.2077037529259615 - x1)) * (x1 + (-0.37600804579875735 + 0.3758536362811339)))"
13,0.0006278226669014991,"((-0.6775876099748501 / (((-1.4422388653234572 / (2.047564300661319 + x1)) - x1) + -0.8748038576206352)) * x1)"
15,0.0006256055076671602,"((-0.6775876099748501 / (((-1.4422388653234572 / (x1 - -1.5102374157234835)) - (x1 - 0.07556244313706474)) + -0.8748038576206352)) * x1)"
17,0.00047644516497838077,"((-0.6820518113060017 / (((-1.1509157325121002 / ((0.5964972922486856 / (1.6045705108081911 - x1)) + x1)) - x1) + -0.8748038576206352)) * x1)"
19,0.00046986715717869937,"((-0.6820518113060017 / (((-1.1753255567241365 / (((0.5964972922486856 / (1.6045705108081911 - x1)) + x1) * 1.048624294607231)) - x1) + -0.8748038576206352)) * x1)"
