"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"73","73_C7_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"74","74_D9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"75","75_B5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"76","76_B2_P. baetica 1_",1,0,0,0,0,0,0,0,"P. baetica 1"
"77","77_D11_P. baetica 1_",1,0,1,1,0,1,1,1,"P. baetica 1"
"78","78_E7_P. baetica 1_",0,0,1,0,1,1,1,0,"P. baetica 1"
"79","79_C8_P. baetica 1_",1,1,0,1,1,0,0,0,"P. baetica 1"
"80","80_C4_P. baetica 1_",1,0,0,1,1,1,0,1,"P. baetica 1"
"81","81_G9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"82","82_C6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"83","83_G10_P. baetica 1_",1,0,1,1,1,1,1,0,"P. baetica 1"
"84","84_B11_P. baetica 1_",1,0,0,0,0,1,1,0,"P. baetica 1"
"85","85_G10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"86","86_G8_P. baetica 1_",0,0,0,0,1,1,1,1,"P. baetica 1"
"87","87_G7_P. baetica 1_",1,1,1,0,0,0,1,0,"P. baetica 1"
"88","88_B10_P. baetica 1_",1,0,0,1,0,1,0,0,"P. baetica 1"
"89","89_G8_P. baetica 1_",1,1,1,1,0,1,1,0,"P. baetica 1"
"90","90_D8_P. baetica 1_",0,0,0,1,1,1,0,1,"P. baetica 1"
"91","91_E3_P. baetica 1_",0,1,0,0,0,1,1,0,"P. baetica 1"
"92","92_D9_P. baetica 1_",1,1,1,0,1,1,1,0,"P. baetica 1"
"93","93_D6_P. baetica 1_",0,1,1,0,0,1,1,1,"P. baetica 1"
"94","94_C10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"95","95_G11_P. baetica 1_",1,0,0,1,1,0,0,1,"P. baetica 1"
"96","96_B11_P. baetica 1_",1,0,1,0,0,1,1,0,"P. baetica 1"
"97","97_F9_P. baetica 1_",1,1,1,0,1,1,0,0,"P. baetica 1"
"98","98_D9_P. baetica 1_",1,1,1,1,0,0,1,0,"P. baetica 1"
"99","99_C9_P. baetica 1_",1,1,0,0,1,0,0,1,"P. baetica 1"
"100","100_G5_P. baetica 1_",0,0,1,0,0,1,0,0,"P. baetica 1"
"101","101_F5_P. baetica 1_",0,0,0,1,1,1,0,0,"P. baetica 1"
"102","102_C9_P. baetica 1_",1,0,1,0,1,0,0,0,"P. baetica 1"
"103","103_C5_P. baetica 1_",0,1,1,1,1,0,0,1,"P. baetica 1"
"104","104_F6_P. baetica 1_",0,0,0,1,0,0,1,0,"P. baetica 1"
"105","105_G10_P. baetica 1_",1,1,0,1,1,0,1,0,"P. baetica 1"
"106","106_D6_P. baetica 1_",0,1,0,0,0,1,1,1,"P. baetica 1"
"107","107_D10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"108","108_C8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"109","109_C7_P. baetica 1_",0,1,0,0,1,1,1,1,"P. baetica 1"
"110","110_G6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"111","111_B4_P. baetica 1_",0,0,1,1,1,0,0,0,"P. baetica 1"
"112","112_C9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"113","113_G3_P. baetica 1_",1,0,0,0,1,0,0,0,"P. baetica 1"
"114","114_B2_P. baetica 1_",0,1,1,0,0,0,1,0,"P. baetica 1"
"115","115_F6_P. baetica 1_",0,0,0,1,0,0,1,0,"P. baetica 1"
"116","116_C5_P. baetica 1_",0,0,1,0,0,1,1,0,"P. baetica 1"
"117","117_F3_P. baetica 1_",0,1,0,0,0,1,0,1,"P. baetica 1"
"118","118_F3_P. baetica 1_",0,1,0,0,0,1,0,1,"P. baetica 1"
"119","119_B11_P. baetica 1_",1,0,1,0,0,1,1,0,"P. baetica 1"
"120","120_G3_P. baetica 1_",0,1,1,0,1,1,0,0,"P. baetica 1"
"121","121_G11_P. baetica 1_",1,0,0,1,1,0,0,1,"P. baetica 1"
"122","122_C4_P. baetica 1_",0,1,1,0,1,0,0,1,"P. baetica 1"
"123","123_C5_P. baetica 1_",0,1,1,1,1,0,0,1,"P. baetica 1"
"124","124_C10_P. baetica 1_",1,1,1,0,0,1,1,0,"P. baetica 1"
"125","125_F11_P. baetica 1_",0,1,1,0,1,0,0,0,"P. baetica 1"
"126","126_E8_P. baetica 1_",1,1,1,1,1,0,1,0,"P. baetica 1"
"127","127_C10_P. baetica 1_",1,1,0,1,1,1,0,1,"P. baetica 1"
"128","128_E10_P. baetica 1_",1,0,0,0,1,1,0,0,"P. baetica 1"
"129","129_D6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"130","130_F2_P. baetica 1_",1,0,1,1,1,0,0,1,"P. baetica 1"
