"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"4101","4101_G7_P. baetica 2_",0,0,1,1,0,1,1,1,"P. baetica 2"
"4102","4102_D7_P. baetica 2_",1,1,1,1,0,0,0,0,"P. baetica 2"
"4103","4103_D7_P. baetica 2_",0,0,1,1,0,0,1,1,"P. baetica 2"
"4104","4104_D7_P. baetica 2_",0,0,0,0,1,0,0,1,"P. baetica 2"
"4105","4105_G6_P. baetica 2_",0,0,1,1,1,0,0,1,"P. baetica 2"
"4106","4106_G3_P. baetica 2_",0,1,0,0,0,0,1,1,"P. baetica 2"
"4107","4107_B6_P. baetica 2_",0,1,1,0,1,1,0,1,"P. baetica 2"
"4108","4108_E2_P. baetica 2_",0,1,0,1,0,1,0,0,"P. baetica 2"
"4109","4109_C5_P. baetica 2_",0,1,0,1,1,0,0,1,"P. baetica 2"
"4110","4110_F4_P. baetica 2_",0,1,1,0,0,0,1,1,"P. baetica 2"
"4111","4111_G5_P. baetica 2_",0,0,0,1,1,0,1,0,"P. baetica 2"
"4112","4112_D10_P. baetica 2_",1,0,1,1,0,0,0,1,"P. baetica 2"
"4113","4113_G7_P. baetica 2_",0,0,1,1,0,1,1,1,"P. baetica 2"
"4114","4114_F4_P. baetica 2_",0,1,1,0,0,0,1,1,"P. baetica 2"
"4115","4115_B3_P. baetica 2_",1,0,0,0,0,1,1,1,"P. baetica 2"
"4116","4116_D6_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4117","4117_F3_P. baetica 2_",1,0,0,1,0,0,0,0,"P. baetica 2"
"4118","4118_C8_P. baetica 2_",0,0,0,1,1,1,1,1,"P. baetica 2"
"4119","4119_B6_P. baetica 2_",0,0,0,1,1,0,0,1,"P. baetica 2"
"4120","4120_B10_P. baetica 2_",1,1,0,1,1,1,1,0,"P. baetica 2"
"4121","4121_D5_P. baetica 2_",0,0,1,0,0,1,0,1,"P. baetica 2"
"4122","4122_D8_P. baetica 2_",1,1,1,1,1,1,0,0,"P. baetica 2"
"4123","4123_F11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4124","4124_G3_P. baetica 2_",0,1,0,0,0,0,1,1,"P. baetica 2"
"4125","4125_G2_P. baetica 2_",1,0,0,0,1,0,1,1,"P. baetica 2"
"4126","4126_B11_P. baetica 2_",1,0,1,0,0,1,1,0,"P. baetica 2"
"4127","4127_D10_P. baetica 2_",1,0,1,1,0,0,0,1,"P. baetica 2"
"4128","4128_C7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4129","4129_B9_P. baetica 2_",1,0,1,1,0,0,0,0,"P. baetica 2"
"4130","4130_E9_P. baetica 2_",1,1,0,0,0,1,0,1,"P. baetica 2"
"4131","4131_F4_P. baetica 2_",0,0,1,0,1,1,0,0,"P. baetica 2"
"4132","4132_B11_P. baetica 2_",1,1,0,1,1,0,0,1,"P. baetica 2"
"4133","4133_G10_P. baetica 2_",1,0,1,1,1,1,1,0,"P. baetica 2"
"4134","4134_E2_P. baetica 2_",0,1,0,1,0,1,0,0,"P. baetica 2"
"4135","4135_C5_P. baetica 2_",0,1,0,1,1,0,0,1,"P. baetica 2"
"4136","4136_E5_P. baetica 2_",0,0,1,1,0,0,0,0,"P. baetica 2"
"4137","4137_E8_P. baetica 2_",1,1,1,1,1,0,1,0,"P. baetica 2"
"4138","4138_C4_P. baetica 2_",1,0,0,1,1,1,0,1,"P. baetica 2"
"4139","4139_F9_P. baetica 2_",1,0,1,0,0,0,0,1,"P. baetica 2"
"4140","4140_C5_P. baetica 2_",0,1,0,1,1,0,0,1,"P. baetica 2"
"4141","4141_F8_P. baetica 2_",1,1,1,1,1,0,0,1,"P. baetica 2"
"4142","4142_D9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4143","4143_E3_P. baetica 2_",0,1,1,1,0,0,1,0,"P. baetica 2"
"4144","4144_G4_P. baetica 2_",0,1,0,1,1,1,0,0,"P. baetica 2"
"4145","4145_C8_P. baetica 2_",1,1,0,1,1,0,0,0,"P. baetica 2"
"4146","4146_F2_P. baetica 2_",0,1,0,1,0,0,1,0,"P. baetica 2"
"4147","4147_B3_P. baetica 2_",1,0,0,0,0,1,1,1,"P. baetica 2"
"4148","4148_F10_P. baetica 2_",1,1,0,1,1,1,0,0,"P. baetica 2"
"4149","4149_B10_P. baetica 2_",1,0,0,1,0,1,0,0,"P. baetica 2"
"4150","4150_E6_P. baetica 2_",0,1,0,1,1,1,1,0,"P. baetica 2"
"4151","4151_D3_P. baetica 2_",1,1,0,0,0,0,0,0,"P. baetica 2"
"4152","4152_F9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4153","4153_D11_P. baetica 2_",1,0,1,0,0,0,1,1,"P. baetica 2"
"4154","4154_G4_P. baetica 2_",0,0,1,0,1,0,1,0,"P. baetica 2"
"4155","4155_G8_P. baetica 2_",1,1,1,1,0,1,1,0,"P. baetica 2"
"4156","4156_G7_P. baetica 2_",0,0,0,0,0,0,1,1,"P. baetica 2"
"4157","4157_E10_P. baetica 2_",1,0,0,0,1,1,0,0,"P. baetica 2"
"4158","4158_G11_P. baetica 2_",0,1,1,0,0,1,0,0,"P. baetica 2"
"4159","4159_B4_P. baetica 2_",0,1,1,0,1,0,1,0,"P. baetica 2"
"4160","4160_C9_P. baetica 2_",1,1,0,0,1,0,0,1,"P. baetica 2"
"4161","4161_G9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4162","4162_E3_P. baetica 2_",0,1,0,0,0,1,1,0,"P. baetica 2"
"4163","4163_B2_P. baetica 2_",1,1,0,0,1,0,1,1,"P. baetica 2"
"4164","4164_G9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4165","4165_B7_P. baetica 2_",0,0,0,0,1,0,1,1,"P. baetica 2"
"4166","4166_B11_P. baetica 2_",1,0,1,1,1,1,0,1,"P. baetica 2"
"4167","4167_B3_P. baetica 2_",1,1,1,1,1,1,1,0,"P. baetica 2"
"4168","4168_G6_P. baetica 2_",0,1,0,1,1,0,1,1,"P. baetica 2"
"4169","4169_E9_P. baetica 2_",1,1,1,0,1,1,0,1,"P. baetica 2"
"4170","4170_F8_P. baetica 2_",0,0,0,1,0,1,1,1,"P. baetica 2"
"4171","4171_D4_P. baetica 2_",1,0,0,0,0,0,0,1,"P. baetica 2"
"4172","4172_E3_P. baetica 2_",0,1,1,1,0,0,1,0,"P. baetica 2"
"4173","4173_E10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4174","4174_D6_P. baetica 2_",0,1,0,0,0,1,1,1,"P. baetica 2"
"4175","4175_F7_P. baetica 2_",1,1,1,0,0,1,0,0,"P. baetica 2"
"4176","4176_F4_P. baetica 2_",1,0,0,0,1,1,1,1,"P. baetica 2"
"4177","4177_E5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4178","4178_D2_P. baetica 2_",1,0,1,1,1,1,0,0,"P. baetica 2"
"4179","4179_C3_P. baetica 2_",1,1,1,1,1,1,0,1,"P. baetica 2"
"4180","4180_C5_P. baetica 2_",0,1,1,1,1,0,0,1,"P. baetica 2"
"4181","4181_E2_P. baetica 2_",1,0,1,1,1,0,1,0,"P. baetica 2"
"4182","4182_C10_P. baetica 2_",1,0,0,1,0,0,1,0,"P. baetica 2"
"4183","4183_F10_P. baetica 2_",1,0,1,0,1,0,1,0,"P. baetica 2"
"4184","4184_D2_P. baetica 2_",1,0,1,1,1,1,0,0,"P. baetica 2"
"4185","4185_B9_P. baetica 2_",1,1,1,1,1,0,0,0,"P. baetica 2"
"4186","4186_B8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4187","4187_D4_P. baetica 2_",0,1,1,0,0,1,1,0,"P. baetica 2"
"4188","4188_C7_P. baetica 2_",0,0,0,0,0,1,1,1,"P. baetica 2"
"4189","4189_G4_P. baetica 2_",0,1,1,1,1,1,0,0,"P. baetica 2"
"4190","4190_F8_P. baetica 2_",0,0,0,1,0,1,1,1,"P. baetica 2"
"4191","4191_D9_P. baetica 2_",1,1,0,0,0,1,1,0,"P. baetica 2"
"4192","4192_B5_P. baetica 2_",0,0,1,0,1,0,0,1,"P. baetica 2"
"4193","4193_B8_P. baetica 2_",1,1,1,0,0,0,0,0,"P. baetica 2"
"4194","4194_C7_P. baetica 2_",0,1,0,0,1,1,1,1,"P. baetica 2"
"4195","4195_B9_P. baetica 2_",1,1,1,1,1,0,0,0,"P. baetica 2"
"4196","4196_E11_P. baetica 2_",1,1,0,1,0,0,1,1,"P. baetica 2"
"4197","4197_B3_P. baetica 2_",0,0,0,0,0,0,1,0,"P. baetica 2"
"4198","4198_F7_P. baetica 2_",0,0,0,0,0,1,0,1,"P. baetica 2"
"4199","4199_E4_P. baetica 2_",0,1,1,0,0,1,0,1,"P. baetica 2"
"4200","4200_G10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4201","4201_G11_P. baetica 2_",0,1,1,0,0,1,0,0,"P. baetica 2"
"4202","4202_C5_P. baetica 2_",0,1,1,1,1,0,0,1,"P. baetica 2"
"4203","4203_E5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4204","4204_E6_P. baetica 2_",0,0,1,1,1,1,0,0,"P. baetica 2"
"4205","4205_E2_P. baetica 2_",0,1,0,1,0,1,0,0,"P. baetica 2"
"4206","4206_G4_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4207","4207_B10_P. baetica 2_",1,1,1,0,1,0,0,1,"P. baetica 2"
"4208","4208_G7_P. baetica 2_",1,1,1,0,0,0,1,0,"P. baetica 2"
"4209","4209_C10_P. baetica 2_",1,0,0,1,0,0,1,0,"P. baetica 2"
"4210","4210_C2_P. baetica 2_",1,0,0,1,0,1,0,1,"P. baetica 2"
"4211","4211_F2_P. baetica 2_",0,1,0,1,0,0,1,0,"P. baetica 2"
"4212","4212_C10_P. baetica 2_",1,0,1,1,0,0,1,0,"P. baetica 2"
"4213","4213_C11_P. baetica 2_",1,0,1,1,1,0,1,1,"P. baetica 2"
"4214","4214_D7_P. baetica 2_",0,0,0,0,1,0,0,1,"P. baetica 2"
"4215","4215_B5_P. baetica 2_",0,1,0,1,1,0,1,0,"P. baetica 2"
"4216","4216_D4_P. baetica 2_",0,1,1,0,0,1,1,0,"P. baetica 2"
"4217","4217_D9_P. baetica 2_",1,0,1,0,0,1,0,0,"P. baetica 2"
"4218","4218_G3_P. baetica 2_",1,0,0,0,1,0,0,0,"P. baetica 2"
"4219","4219_C3_P. baetica 2_",1,0,1,1,0,0,1,1,"P. baetica 2"
"4220","4220_E3_P. baetica 2_",1,1,1,1,0,1,1,1,"P. baetica 2"
"4221","4221_D10_P. baetica 2_",1,1,1,0,0,1,0,1,"P. baetica 2"
"4222","4222_D7_P. baetica 2_",1,1,1,1,0,0,0,0,"P. baetica 2"
"4223","4223_D3_P. baetica 2_",1,0,1,0,1,1,1,0,"P. baetica 2"
"4224","4224_C5_P. baetica 2_",0,1,0,0,0,0,1,0,"P. baetica 2"
"4225","4225_B8_P. baetica 2_",1,1,1,0,0,0,0,1,"P. baetica 2"
"4226","4226_D8_P. baetica 2_",1,1,1,1,1,1,0,0,"P. baetica 2"
"4227","4227_D9_P. baetica 2_",1,1,0,0,0,1,1,0,"P. baetica 2"
"4228","4228_F3_P. baetica 2_",1,1,1,0,1,1,1,1,"P. baetica 2"
"4229","4229_E4_P. baetica 2_",0,0,1,1,0,0,0,1,"P. baetica 2"
"4230","4230_F4_P. baetica 2_",0,1,0,1,0,0,0,0,"P. baetica 2"
"4231","4231_E10_P. baetica 2_",1,0,0,0,1,1,0,0,"P. baetica 2"
"4232","4232_F10_P. baetica 2_",1,1,0,0,1,1,1,1,"P. baetica 2"
"4233","4233_G10_P. baetica 2_",1,0,1,1,1,1,1,0,"P. baetica 2"
"4234","4234_E8_P. baetica 2_",1,1,1,1,1,0,1,0,"P. baetica 2"
"4235","4235_F7_P. baetica 2_",0,0,1,0,1,1,0,1,"P. baetica 2"
"4236","4236_F11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4237","4237_G4_P. baetica 2_",0,1,0,1,1,1,0,0,"P. baetica 2"
"4238","4238_D5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4239","4239_C11_P. baetica 2_",1,0,1,1,1,0,1,1,"P. baetica 2"
"4240","4240_D11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4241","4241_G11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4242","4242_E9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4243","4243_G10_P. baetica 2_",1,1,0,1,1,0,1,0,"P. baetica 2"
"4244","4244_F11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4245","4245_F2_P. baetica 2_",0,1,0,1,1,1,1,1,"P. baetica 2"
"4246","4246_B11_P. baetica 2_",1,1,0,1,1,0,0,1,"P. baetica 2"
"4247","4247_E2_P. baetica 2_",0,1,0,1,0,1,0,0,"P. baetica 2"
"4248","4248_C8_P. baetica 2_",1,1,0,1,1,0,0,0,"P. baetica 2"
"4249","4249_G11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4250","4250_E9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4251","4251_F11_P. baetica 2_",1,0,0,1,1,1,1,1,"P. baetica 2"
"4252","4252_B11_P. baetica 2_",1,1,0,1,1,0,0,1,"P. baetica 2"
"4253","4253_G4_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4254","4254_G7_P. baetica 2_",0,0,1,1,0,1,1,1,"P. baetica 2"
"4255","4255_C6_P. baetica 2_",0,0,1,0,0,0,0,1,"P. baetica 2"
"4256","4256_F4_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4257","4257_C6_P. baetica 2_",0,1,1,0,1,0,1,1,"P. baetica 2"
"4258","4258_D5_P. baetica 2_",0,1,0,0,0,0,0,1,"P. baetica 2"
"4259","4259_G9_P. baetica 2_",1,0,0,1,1,0,0,0,"P. baetica 2"
"4260","4260_D6_P. baetica 2_",0,0,0,1,1,0,0,0,"P. baetica 2"
"4261","4261_E7_P. baetica 2_",1,1,1,0,1,0,0,0,"P. baetica 2"
"4262","4262_C8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4263","4263_B5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4264","4264_E7_P. baetica 2_",0,0,1,0,1,1,1,0,"P. baetica 2"
"4265","4265_E10_P. baetica 2_",1,1,1,0,0,0,1,1,"P. baetica 2"
"4266","4266_B3_P. baetica 2_",1,0,0,0,0,1,1,1,"P. baetica 2"
"4267","4267_G3_P. baetica 2_",1,0,1,0,0,1,1,1,"P. baetica 2"
"4268","4268_D4_P. baetica 2_",0,0,1,1,0,0,1,0,"P. baetica 2"
"4269","4269_C8_P. baetica 2_",0,0,0,1,1,1,1,0,"P. baetica 2"
"4270","4270_D11_P. baetica 2_",1,0,1,1,0,1,1,1,"P. baetica 2"
"4271","4271_G11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4272","4272_E11_P. baetica 2_",1,0,1,0,1,1,1,1,"P. baetica 2"
"4273","4273_C8_P. baetica 2_",0,0,0,1,1,1,1,0,"P. baetica 2"
"4274","4274_D3_P. baetica 2_",0,1,0,0,1,0,0,1,"P. baetica 2"
"4275","4275_G2_P. baetica 2_",0,0,0,0,0,1,0,0,"P. baetica 2"
"4276","4276_B2_P. baetica 2_",1,0,0,0,0,0,0,0,"P. baetica 2"
"4277","4277_E2_P. baetica 2_",0,1,1,0,1,1,1,1,"P. baetica 2"
"4278","4278_D8_P. baetica 2_",1,1,1,1,1,1,0,0,"P. baetica 2"
"4279","4279_E11_P. baetica 2_",1,0,0,1,1,1,0,0,"P. baetica 2"
"4280","4280_E3_P. baetica 2_",0,1,0,0,0,1,1,0,"P. baetica 2"
"4281","4281_B8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4282","4282_B8_P. baetica 2_",1,1,1,0,0,0,0,0,"P. baetica 2"
"4283","4283_B4_P. baetica 2_",1,0,1,1,1,1,1,1,"P. baetica 2"
"4284","4284_G10_P. baetica 2_",1,1,0,1,1,0,1,0,"P. baetica 2"
"4285","4285_F11_P. baetica 2_",0,1,1,0,1,0,0,0,"P. baetica 2"
"4286","4286_F7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4287","4287_F10_P. baetica 2_",1,0,0,0,1,0,1,0,"P. baetica 2"
"4288","4288_C3_P. baetica 2_",0,0,0,0,0,0,0,1,"P. baetica 2"
"4289","4289_F8_P. baetica 2_",1,1,0,0,0,0,1,0,"P. baetica 2"
"4290","4290_B6_P. baetica 2_",0,1,0,0,1,1,0,1,"P. baetica 2"
"4291","4291_F3_P. baetica 2_",0,1,0,0,0,1,0,1,"P. baetica 2"
"4292","4292_C7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4293","4293_C7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4294","4294_F4_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4295","4295_C2_P. baetica 2_",0,1,0,0,0,0,0,0,"P. baetica 2"
"4296","4296_C4_P. baetica 2_",0,0,1,1,0,1,0,0,"P. baetica 2"
"4297","4297_C10_P. baetica 2_",1,1,0,1,1,1,0,1,"P. baetica 2"
"4298","4298_F5_P. baetica 2_",0,0,0,1,1,1,0,0,"P. baetica 2"
"4299","4299_E10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4300","4300_F5_P. baetica 2_",0,1,1,1,0,0,1,1,"P. baetica 2"
"4301","4301_E6_P. baetica 2_",0,0,1,1,1,1,0,0,"P. baetica 2"
"4302","4302_F11_P. baetica 2_",1,0,0,1,1,0,1,0,"P. baetica 2"
"4303","4303_F7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4304","4304_F5_P. baetica 2_",0,0,1,0,1,0,0,0,"P. baetica 2"
"4305","4305_E2_P. baetica 2_",1,0,1,1,1,0,1,0,"P. baetica 2"
"4306","4306_G2_P. baetica 2_",0,0,1,1,1,1,1,1,"P. baetica 2"
"4307","4307_D2_P. baetica 2_",1,0,1,1,1,1,0,0,"P. baetica 2"
"4308","4308_C4_P. baetica 2_",1,0,0,0,0,0,1,0,"P. baetica 2"
"4309","4309_F4_P. baetica 2_",1,0,0,0,1,1,1,1,"P. baetica 2"
"4310","4310_F2_P. baetica 2_",1,0,0,0,1,1,0,1,"P. baetica 2"
"4311","4311_C5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4312","4312_E2_P. baetica 2_",1,0,1,1,1,0,1,0,"P. baetica 2"
"4313","4313_E6_P. baetica 2_",0,0,0,1,0,0,1,1,"P. baetica 2"
"4314","4314_B3_P. baetica 2_",1,0,1,1,0,1,0,1,"P. baetica 2"
"4315","4315_D9_P. baetica 2_",1,1,1,1,0,0,1,0,"P. baetica 2"
"4316","4316_E9_P. baetica 2_",1,0,1,0,0,0,1,0,"P. baetica 2"
"4317","4317_F2_P. baetica 2_",1,0,1,1,1,0,0,1,"P. baetica 2"
"4318","4318_D2_P. baetica 2_",1,0,0,1,0,0,1,1,"P. baetica 2"
"4319","4319_D11_P. baetica 2_",1,0,1,1,0,1,1,1,"P. baetica 2"
"4320","4320_F2_P. baetica 2_",0,0,0,0,1,0,0,0,"P. baetica 2"
"4321","4321_D11_P. baetica 2_",1,1,0,1,0,1,0,1,"P. baetica 2"
"4322","4322_F9_P. baetica 2_",1,1,0,0,0,0,1,1,"P. baetica 2"
"4323","4323_E7_P. baetica 2_",0,0,1,1,1,1,0,1,"P. baetica 2"
"4324","4324_F10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4325","4325_E7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4326","4326_G8_P. baetica 2_",0,0,0,0,1,1,1,1,"P. baetica 2"
"4327","4327_E11_P. baetica 2_",0,1,1,1,0,0,0,0,"P. baetica 2"
"4328","4328_B6_P. baetica 2_",0,1,1,0,1,1,0,1,"P. baetica 2"
"4329","4329_E7_P. baetica 2_",1,1,1,0,1,0,0,0,"P. baetica 2"
"4330","4330_B4_P. baetica 2_",1,0,0,0,0,1,0,0,"P. baetica 2"
"4331","4331_G8_P. baetica 2_",1,1,0,0,1,1,0,0,"P. baetica 2"
"4332","4332_C5_P. baetica 2_",0,0,1,0,0,1,1,0,"P. baetica 2"
"4333","4333_D10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4334","4334_C2_P. baetica 2_",0,1,1,1,1,0,1,1,"P. baetica 2"
"4335","4335_E11_P. baetica 2_",1,0,0,1,1,1,0,0,"P. baetica 2"
"4336","4336_D3_P. baetica 2_",1,1,1,1,1,0,1,1,"P. baetica 2"
"4337","4337_E4_P. baetica 2_",0,1,1,0,0,1,0,1,"P. baetica 2"
"4338","4338_E8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4339","4339_G3_P. baetica 2_",1,1,0,1,1,1,1,1,"P. baetica 2"
"4340","4340_B5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4341","4341_D8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4342","4342_G6_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4343","4343_B2_P. baetica 2_",1,0,0,1,0,1,1,0,"P. baetica 2"
"4344","4344_F10_P. baetica 2_",1,0,1,0,1,0,1,0,"P. baetica 2"
"4345","4345_G2_P. baetica 2_",1,0,1,1,0,1,1,0,"P. baetica 2"
"4346","4346_F8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4347","4347_D2_P. baetica 2_",0,1,0,1,1,0,0,0,"P. baetica 2"
"4348","4348_G10_P. baetica 2_",1,0,1,0,1,0,0,1,"P. baetica 2"
"4349","4349_D5_P. baetica 2_",0,1,0,0,0,0,0,1,"P. baetica 2"
"4350","4350_B10_P. baetica 2_",1,1,1,0,1,0,0,1,"P. baetica 2"
"4351","4351_E2_P. baetica 2_",0,0,0,1,0,0,0,0,"P. baetica 2"
"4352","4352_E8_P. baetica 2_",0,0,0,1,1,0,1,1,"P. baetica 2"
"4353","4353_D5_P. baetica 2_",0,1,0,1,0,1,1,0,"P. baetica 2"
"4354","4354_G8_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4355","4355_D5_P. baetica 2_",0,1,1,1,0,1,1,0,"P. baetica 2"
"4356","4356_B9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4357","4357_B3_P. baetica 2_",1,0,0,0,0,1,1,1,"P. baetica 2"
"4358","4358_D5_P. baetica 2_",0,1,0,1,0,1,1,0,"P. baetica 2"
"4359","4359_C2_P. baetica 2_",0,1,1,0,0,0,0,1,"P. baetica 2"
"4360","4360_F3_P. baetica 2_",0,1,0,0,0,1,0,1,"P. baetica 2"
"4361","4361_F2_P. baetica 2_",0,1,0,1,1,1,1,1,"P. baetica 2"
"4362","4362_E9_P. baetica 2_",1,1,1,1,0,0,0,1,"P. baetica 2"
"4363","4363_G10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4364","4364_G4_P. baetica 2_",0,0,1,0,1,0,1,0,"P. baetica 2"
"4365","4365_E11_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4366","4366_G6_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4367","4367_C10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4368","4368_E6_P. baetica 2_",0,0,0,1,0,1,0,0,"P. baetica 2"
"4369","4369_G10_P. baetica 2_",1,0,1,1,1,1,1,0,"P. baetica 2"
"4370","4370_F6_P. baetica 2_",0,0,0,0,1,1,1,0,"P. baetica 2"
"4371","4371_D6_P. baetica 2_",0,0,0,1,1,0,0,0,"P. baetica 2"
"4372","4372_B5_P. baetica 2_",0,1,0,0,0,1,0,0,"P. baetica 2"
"4373","4373_D3_P. baetica 2_",0,1,1,1,0,1,0,0,"P. baetica 2"
"4374","4374_C5_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4375","4375_C9_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4376","4376_B4_P. baetica 2_",0,0,1,1,1,0,0,0,"P. baetica 2"
"4377","4377_F8_P. baetica 2_",1,1,1,1,1,0,0,1,"P. baetica 2"
"4378","4378_E6_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4379","4379_F5_P. baetica 2_",0,1,0,1,0,0,1,1,"P. baetica 2"
"4380","4380_F7_P. baetica 2_",1,1,1,0,0,1,0,0,"P. baetica 2"
"4381","4381_E10_P. baetica 2_",1,0,1,0,1,1,0,0,"P. baetica 2"
"4382","4382_D10_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4383","4383_E3_P. baetica 2_",0,1,0,0,0,1,1,0,"P. baetica 2"
"4384","4384_B11_P. baetica 2_",1,0,0,0,0,1,1,0,"P. baetica 2"
"4385","4385_G3_P. baetica 2_",0,1,1,0,1,1,0,0,"P. baetica 2"
"4386","4386_E8_P. baetica 2_",1,1,0,0,0,1,0,0,"P. baetica 2"
"4387","4387_C4_P. baetica 2_",1,0,0,0,0,0,1,0,"P. baetica 2"
"4388","4388_B6_P. baetica 2_",0,1,1,0,1,1,0,1,"P. baetica 2"
"4389","4389_F10_P. baetica 2_",1,1,0,0,1,1,1,1,"P. baetica 2"
"4390","4390_B4_P. baetica 2_",1,0,1,1,1,1,1,1,"P. baetica 2"
"4391","4391_B4_P. baetica 2_",1,0,1,1,1,1,1,1,"P. baetica 2"
"4392","4392_G7_P. baetica 2_",0,0,0,0,0,0,0,0,"P. baetica 2"
"4393","4393_B10_P. baetica 2_",1,0,0,1,0,1,0,0,"P. baetica 2"
"4394","4394_B11_P. baetica 2_",1,0,1,1,1,1,0,1,"P. baetica 2"
"4395","4395_E11_P. baetica 2_",1,0,1,0,1,1,1,1,"P. baetica 2"
"4396","4396_E3_P. baetica 2_",1,0,1,0,0,0,0,0,"P. baetica 2"
"4397","4397_B3_P. baetica 2_",1,1,1,1,1,1,1,0,"P. baetica 2"
"4398","4398_D3_P. baetica 2_",0,1,0,0,1,0,0,1,"P. baetica 2"
"4399","4399_D3_P. baetica 2_",1,0,1,0,1,1,1,0,"P. baetica 2"
"4400","4400_B8_P. baetica 2_",0,0,1,0,0,1,1,1,"P. baetica 2"
"4401","4401_E7_P. baetica 2_",0,0,0,0,0,1,1,0,"P. baetica 2"
"4402","4402_G3_P. baetica 2_",0,1,1,0,1,1,0,0,"P. baetica 2"
"4403","4403_B10_P. baetica 2_",1,1,0,1,1,1,1,0,"P. baetica 2"
"4404","4404_C2_P. baetica 2_",1,1,0,0,0,1,1,1,"P. baetica 2"
"4405","4405_C9_P. baetica 2_",1,1,1,1,0,0,1,1,"P. baetica 2"
"4406","4406_D4_P. baetica 2_",1,0,0,0,0,0,0,1,"P. baetica 2"
"4407","4407_G3_P. baetica 2_",1,0,0,0,1,0,0,0,"P. baetica 2"
"4408","4408_C8_P. baetica 2_",0,0,0,1,1,1,1,1,"P. baetica 2"
"4409","4409_F8_P. baetica 2_",1,1,0,1,0,0,0,1,"P. baetica 2"
