Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
label_exp,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response,CHL_RIF_dose_response
well_name,A3,A3,A4,A4,A5,A5,A6,A6,B5,B5,B6,B6,B7,B7,B8,B8,C5,C5,C6,C6,C7,C7,C8,C8,D5,D5,D6,D6,D7,D7,D8,D8,E5,E5,E6,E6,E7,E7,E8,E8
max_gr,0.017567438494505015,0.002071310505682736,0.01437436519691438,0.0020230289814155093,0.013767362311710484,0.0021576843398580688,0.013710758531079807,0.002239314426073159,0.01323197697622634,0.0024740373436384325,0.01209649604475725,0.0021964237140980813,0.01272589274114469,0.0024021379516037905,0.012924999876539061,0.0024528685731440344,0.011258375226234726,0.00043422705906251354,0.011314688811095599,0.0020435379187181547,0.011454383657714978,0.0018749850287193435,0.01142420451404576,0.0019879516377714792,0.009544510417759128,0.0010063269130384605,0.009320572811246371,0.0008231557863215119,0.009379888681483541,0.0007221132620983598,0.009501619356895037,0.0006567114571489688,0.007793154704374931,0.0006957056178317469,0.008168191540075361,0.00069658986600495,0.008704729295315803,0.0007612320542278093,0.006687469699026048,0.0007653040510827197
min_gr,0.007422832636511963,-0.0005682347663938282,0.007539053079679741,-0.0005544704268719491,0.007594850407961217,-0.0005679482566433424,0.0076480133020631735,-0.000546790704883726,0.006910661677985301,-0.00035236474798609237,0.006507623636120998,-0.0003557038194274896,0.0063927695977807585,-0.0003244462638639751,0.0066624707880008575,-0.00036601720417563436,0.003464767987260659,-0.0005339292055348589,0.005556518789979265,-0.0005840435427977285,0.005531613828007786,-0.0005705324754125143,0.005673755327846773,-0.0005299992072584089,0.0038293926692938396,-0.0004930619474551778,0.00370927649339587,-0.0005314586306281087,0.00360933007720069,-0.0006037336217047625,0.003556540739216552,-0.0006028149277303781,0.0022887405026416775,-0.0009135747347903867,0.0023413173564152214,-0.0009240567473054301,0.0021727991571392413,-0.0009902215686231916,0.0020505162267957146,-0.0010247692414865465
t_of_max,73.56666666666665,481.56666666666666,73.56666666666665,481.56666666666666,73.56666666666665,481.56666666666666,73.56666666666665,481.56666666666666,73.56666666666665,493.5666666666667,73.56666666666665,499.5666666666667,73.56666666666665,499.5666666666667,73.56666666666665,499.5666666666667,73.56666666666665,601.5666666666667,73.56666666666665,565.5666666666667,73.56666666666665,565.5666666666667,73.56666666666665,565.5666666666667,73.56666666666665,625.5666666666667,73.56666666666665,637.5666666666667,73.56666666666665,637.5666666666667,73.56666666666665,637.5666666666667,73.56666666666665,781.5666666666668,73.56666666666665,799.5666666666668,73.56666666666665,799.5666666666668,73.56666666666665,799.5666666666668
od_of_max,0.011264310077789136,0.7179966177904984,0.01104879794336623,0.7161705848033393,0.01104879794336623,0.7244611653206532,0.010336430329283117,0.7218794955039041,0.012408856786786349,0.6384127048153501,0.013055372990096561,0.6412524775770914,0.011192360387569994,0.637822563798987,0.01090643443156217,0.6348032872241944,0.0124799630824076,0.5722542162167865,0.01147667396065122,0.5546323196603754,0.01104879794336623,0.5570729520192877,0.01247916539253234,0.5559867187436053,0.011690243679109839,0.4659371556823585,0.011904568579503505,0.4507826038116787,0.012334566634860895,0.44937526947186524,0.012549118460476516,0.45710995666821036,0.01147400346590722,0.3742121859849513,0.010974458889935717,0.36492245887674846,0.010903281384827709,0.36737993047398604,0.014913070687026504,0.3748319118114214
max_deriv,0.003923931011678816,0.0026154717429422436,0.004025523369532713,0.002643325730200055,0.004276225936920397,0.002760733872211013,0.004232187357434247,0.002788050358353958,0.003327905844483836,0.0025338254319411946,0.0031603302964645363,0.002316149975163273,0.0033613038526017075,0.0024617938822941027,0.0034930492605550756,0.0024922153903108313,0.002660878635867836,0.0008285835661551166,0.002521982260769197,0.001753806712292555,0.002582409761435131,0.0017234434787196662,0.0025780437694111827,0.0018024108003382722,0.0017486731122674931,0.000941305760102637,0.0016488899973349444,0.0007964656400315934,0.0016300966981041276,0.0007523583439219272,0.001672123079506968,0.0007222528235327069,0.0009764330793055401,0.00031030333317749736,0.0009080018566846662,0.00031037942084430337,0.0009106278627352901,0.00033986730085421024,0.0009047386781165165,0.00033969428086241815
min_deriv,5.935267485886902e-5,-0.00048800844029910084,7.122294343210752e-5,-0.0005164149842018101,7.12229434321073e-5,-0.00046196362384785805,7.121789344248053e-5,-0.00046165471880012243,7.131435287737408e-5,-0.00026628370807950386,8.32636298510154e-5,-0.0002805263685446563,7.12229434321073e-5,-0.00036382677679350217,7.12229434321073e-5,-0.0003084854841017143,8.317868732671545e-5,-0.00037605948095169317,7.125509657707196e-5,-0.0003903857150886897,7.12229434321073e-5,-0.0003764051218261566,7.125509657707218e-5,-0.00039013175202760875,7.125509657707175e-5,-0.00029077384998341116,7.125509657707196e-5,-0.00030802991027278903,5.939076212773059e-5,-0.0003376899155992652,7.131435287737408e-5,-0.0003367771773708228,4.748834040952678e-5,-0.00040901265469853176,5.935267485886902e-5,-0.00037761677356260015,5.935267485886902e-5,-0.0004219590134111398,7.151417494399154e-5,-0.0004529210204069767
end_time,445.56666666666666,1831.566666666666,445.56666666666666,1831.566666666666,445.56666666666666,1831.566666666666,445.56666666666666,1831.566666666666,457.56666666666666,1831.566666666666,463.56666666666666,1831.566666666666,463.56666666666666,1831.566666666666,463.56666666666666,1831.566666666666,565.5666666666667,1831.566666666666,529.5666666666667,1831.566666666666,529.5666666666667,1831.566666666666,529.5666666666667,1831.566666666666,589.5666666666667,1831.566666666666,601.5666666666667,1831.566666666666,601.5666666666667,1831.566666666666,601.5666666666667,1831.566666666666,745.5666666666668,1831.566666666666,763.5666666666668,1831.566666666666,763.5666666666668,1831.566666666666,763.5666666666668,1831.566666666666
delta_N,0.6246202931987506,0.1709801971249788,0.6240991893615832,0.21241634728181902,0.6286304006722967,0.2588159726292819,0.6248067793631199,0.26779082716442015,0.5455108865798978,0.2650331883625069,0.5560136958524365,0.24804888538008585,0.5486898391370862,0.26496314217276495,0.5447076664905941,0.26772282279633086,0.543100966843236,0.1369079165007614,0.48809941745007246,0.17951399515489386,0.4933009855558158,0.18470238605645073,0.4894511408063023,0.18917152439009433,0.42834932888973254,0.1656322684574636,0.4174892382988834,0.16445377728387073,0.41766580272922993,0.17228292971904702,0.4261695337666574,0.17031781274281227,0.3613907619235392,0.1418155477306609,0.3518165422085371,0.13930232943034182,0.3582955551001391,0.15144828078294037,0.36218417855627066,0.14753231572806874
