Complexity,Loss,Equation
1,0.13318114356713506,"0.3185220521122442"
3,0.00036359209830376854,"(x1 / 70.47473986542632)"
5,0.0001478226687912896,"((x1 - -1.3737576823842568) * 0.013835860427022638)"
7,0.00014782266879123955,"(((x1 + 0.018747728174153957) * 1.0138358604343065) - x1)"
11,0.00013270103376376377,"((x1 - -1.2633991860785312) / (70.4747398633491 - ((-0.046814171424135326 * x1) * 0.4043747796733762)))"
13,0.00012843276185578892,"((x1 + 1.1567090242501818) / ((70.4747398633491 + ((x1 + x1) / 70.4747398633491)) - -0.046814171424135326))"
17,0.00012589633521794717,"((x1 + 1.1567090242501818) / ((70.4747398633491 + ((x1 + x1) / (70.4747398633491 + (-0.39484345612293836 - 0.9494644105201671)))) + -0.046814171424135326))"
19,0.00011960070538196708,"((x1 + 1.1567090242501818) / (((70.4747398633491 + (x1 / (70.4747398633491 / (1.1567090242501818 - (-2.2148261561274425 + 0.8560357475010781))))) + -1.3545142501570888) - -0.13617394289478654))"
